Sr_No,Location_Coordinates,Hospital_Name,Specialties,Address_Original_First_Line,State,District,Pincode,Telephone,Mobile_Number,Emergency_Num,Facilities,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Latitude,Longitude
13,"17.4738037, 78.5641765","Jeevana Jyothi Hospitals Ltd.,",[],"#15-381, Kamala Nagar",Andhra Pradesh,Anantapur,515001.0,,,,,,,,17.4738037,78.5641765
15,"14.6818877, 77.6005911",Meda Nursing Home,[],Railway Station Road,Andhra Pradesh,Anantapur,515001.0,08554    277562,,,,,,,14.6818877,77.6005911
16,"14.6723351, 77.6018211",Mnr Nursing Home,[],"12/3-269, Sai Nagar, 6Th Cross",Andhra Pradesh,Anantapur,515001.0,,,,,,,,14.6723351,77.6018211
17,"14.6867872, 77.5832307",Mythri Hospitals,[],D No: 15/721 Kamala Nagar,Andhra Pradesh,Anantapur,515001.0,"08554    274630,245014,9441074096",,,,,,,14.6867872,77.5832307
18,"15.3474564, 75.1253824",Padmavathi Hospital,[],"Aravinda Nagar, 2 Nd Cross",Andhra Pradesh,Anantapur,515001.0,08554  249966,,,,,,,15.3474564,75.1253824
19,"14.6742267, 77.6025251",Pavani Multi Speciality Hospital,[],"12-2-979,3Rd Cross, Sai Nagar",Andhra Pradesh,Anantapur,515001.0,,,,,,,,14.6742267,77.6025251
20,"14.6818877, 77.6005911",Prasanthi Nursing Home,[],"#346, Court Road",Andhra Pradesh,Anantapur,515001.0,,,,,,,,14.6818877,77.6005911
21,"14.6723351, 77.6018211",Priya Multispeciality Hospital,[],"#12/2/991, Sai Nagar,Main Road",Andhra Pradesh,Anantapur,515001.0,231908,,,,,,,14.6723351,77.6018211
22,"14.6805847, 77.6000775",Ravitej Nursing Home,[],"15-16, Kamala Nagar",Andhra Pradesh,Anantapur,515001.0,,,,,,,,14.6805847,77.6000775
23,"13.9860276, 77.7658783",Santhi Nursing Home,[],"Near R.T.C, Bus Stand",Andhra Pradesh,Anantapur,515001.0,,,,,,,,13.9860276,77.7658783
25,"14.6818877, 77.6005911",Sri Sai Balaji Hospital,[],"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross",Andhra Pradesh,Anantapur,515001.0,,,,,,,,14.6818877,77.6005911
26,"13.6340453, 79.4157431",Sri Sai Kurpa Nursing Home,[],"10/368, Sarojini Road",Andhra Pradesh,Anantapur,515001.0,08554    274564,,,,,,,13.6340453,79.4157431
27,"14.6818877, 77.6005911",Sri Sai Venkateshwara Surgical Clinic,[],Anantapur,Andhra Pradesh,Anantapur,515001.0,,,,,,,,14.6818877,77.6005911
28,"14.9093514, 78.0060388",Sudhir Surgical Clinic,[],Hospital Road,Andhra Pradesh,Anantapur,515001.0,220092,,,,,,,14.9093514,78.0060388
29,"14.6755437, 77.6036802",Suma Eye Clinic,[],"12-2-870,1St Cross,Sai Nagar",Andhra Pradesh,Anantapur,515001.0,,,,,,,,14.6755437,77.6036802
30,"14.6755437, 77.6036802",Swetha Ent Hospital,[],"#12/350-A,1St Cross ,Sai Nagar",Andhra Pradesh,Anantapur,515001.0,,,,,,,,14.6755437,77.6036802
32,"19.0627033, 72.9297396",Varun Children's Hospital,[],"D. No.14/224, Kamala Nagar",Andhra Pradesh,Anantapur,515001.0,,,,,,,,19.0627033,72.9297396
33,"14.6818877, 77.6005911",Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),[],"7/201, Court Road",Andhra Pradesh,Anantapur,515001.0,,,,,,,,14.6818877,77.6005911
34,"14.6607456, 77.6085681",Vijaya Nursing Home,[],Navodaya Colony,Andhra Pradesh,Anantapur,515001.0,220912,,,,,,,14.6607456,77.6085681
36,"13.0433764, 80.1622367",Mamatha Nursing Home,[],"12-2-865, 1St Cross, Sai Nagar",Andhra Pradesh,Anantapur,515004.0,08554  275152,9440014646,,,,,,13.0433764,80.1622367
37,"14.6735546, 77.6081894",Anantapuram Praja Vaidyasala,[],"28-639-1, Behind Sangamesh Funtion Hall",Andhra Pradesh,Anantapur,515005.0,,,,,,,,14.6735546,77.6081894
38,"14.6818877, 77.6005911",Balaji Nursing Home,[],M.F. Road,Andhra Pradesh,Anantapur,515201.0,,,,,,,,14.6818877,77.6005911
39,"14.6818877, 77.6005911",Dr B V Syamala Ratnam Hospiatal,[],"Opposite R.T.C Bus Stand, Hindupur (Po)",Andhra Pradesh,Anantapur,515201.0,,,,,,,,14.6818877,77.6005911
40,"14.178135, 77.2728241",Girish Multispeciality Hospital,[],"#18-1-167, M F Road, Hindupur",Andhra Pradesh,Anantapur,515201.0,,,,,,,,14.178135,77.2728241
41,"13.8358978, 77.5046101",Shilpa Hospital,[],"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur",Andhra Pradesh,Anantapur,515201.0,08556 220728,,,,,,,13.8358978,77.5046101
42,"13.8185378, 77.4988753",Sreenivasa Nursing Home,[],Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Andhra Pradesh,Anantapur,515201.0,,,,,,,,13.8185378,77.4988753
43,"13.8371751, 77.4878898",Teja Nursing Home,[],R.P and G.T Road Hindupur,Andhra Pradesh,Anantapur,515201.0,,,,,,,,13.8371751,77.4878898
44,"14.910003, 78.0005407",Sharada Nursing Home and Falvia P Reddy Diagnostic,[],"1/531A-3, East Palem, C B Road, Tadaptri",Andhra Pradesh,Anantapur,515411.0,,,,,,,,14.910003,78.0005407
45,"14.9070274, 78.0092703",Sri Kanchani Hospital,[],"C.B Road, Tadpatri",Andhra Pradesh,Anantapur,515411.0,,,,,,,,14.9070274,78.0092703
48,"14.4137447, 77.7126189",Devi Nursing Home,[],"Beside Sudharsan Theatre, R.S.Road, Dharmavaram",Andhra Pradesh,Anantapur,515671.0,,,,,,,,14.4137447,77.7126189
49,"14.4068919, 77.7125679",Spandana Hospital,[],"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Andhra Pradesh,Anantapur,515671.0,08559  225919,,,,,,,14.4068919,77.7125679
50,"15.1622611, 77.3826845",Preethi Nursing Home,[],"Thilak Nagar, Guntakal",Andhra Pradesh,Anantapur,515801.0,,,,,,,,15.1622611,77.3826845
53,"13.217176, 79.1003289",Dr. Ramalakshmi Nursing Home,[],"No.17-433, Lakshmi Complex, Sundarayyar Street",Andhra Pradesh,Chittoor,517001.0,,,,,,,,13.217176,79.1003289
54,"13.217176, 79.1003289",Dr. V. K. R. Nursing Home and Scan Centre,[],"No. 20-142/1, Near Raghava Theatre, Naidu Building",Andhra Pradesh,Chittoor,517001.0,,,,,,,,13.217176,79.1003289
55,"28.6481837, 77.3709431",Lakshmi Hospital,[],"D.No:17-284,,T.V.Naidu St",Andhra Pradesh,Chittoor,517001.0,,,,,,,,28.6481837,77.3709431
57,"39.5988355, -77.932359",S.M.Clinic,[],"# 2-1250, Officers Lane",Andhra Pradesh,Chittoor,517001.0,,,,,,,,39.5988355,-77.932359
58,"13.217176, 79.1003289",Sreelatha Modern Eye Hospital And Research Centre,[],"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office",Andhra Pradesh,Chittoor,517001.0,"08577    222121,226660",,,,,,,13.217176,79.1003289
59,"13.65, 78.933333",Sujatha Nursing Home,[],"#2-1090, Padmavathi Nagar, Piler",Andhra Pradesh,Chittoor,517001.0,,,,,,,,13.65,78.933333
61,"13.36592, 78.5750141",Balaji Hospital,[],Opp:Tn Petrol Bunk Punganur Punganur,Andhra Pradesh,Chittoor,517247.0,08581    252867,,,,,,,13.36592,78.5750141
62,"13.36592, 78.5750141",Vijaya Nursing Home,[],Gokul Theater Road Punganur Punganur,Andhra Pradesh,Chittoor,517247.0,08581    253129,,,,,,,13.36592,78.5750141
63,"13.5508703, 78.50597",Balaji Multi Speciality Hospital,[],"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle",Andhra Pradesh,Chittoor,517325.0,08571  227799,,,,,,,13.5508703,78.50597
64,"13.5603491, 78.5036065",Bhavya Child Care Center,[],Near Rtc Bus Stand Chittoor Madanapalli,Andhra Pradesh,Chittoor,517325.0,08571    221444,,,,,,,13.5603491,78.5036065
65,"13.5508703, 78.50597",Bhavyas Children Hospital,[],R T C Bus Stand Madanpalle,Andhra Pradesh,Chittoor,517325.0,,,,,,,,13.5508703,78.50597
66,"13.5603491, 78.5036065",Chandra Mohan's Nursing Home,[],14/2A Ctm Road Beside Icici Bank Madanapalli,Andhra Pradesh,Chittoor,517325.0,08571    222167,,,,,,,13.5603491,78.5036065
67,"13.5603491, 78.5036065",Desai Hospital,[],"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle",Andhra Pradesh,Chittoor,517325.0,,,,,,,,13.5603491,78.5036065
68,"14.4656511, 78.8330438",Desai Hospital-Madanapalli,[],"No. 3-153-4-3-1, Near Rtc Bus Stand",Andhra Pradesh,Chittoor,517325.0,"08571    223144,223257",,,,,,,14.4656511,78.8330438
69,"18.4328566, 79.1303578",Emergency Hospital,[],"Near R.T.C.Busstand,C.T.M.Road",Andhra Pradesh,Chittoor,517325.0,,,,,,,,18.4328566,79.1303578
70,"13.217176, 79.1003289",Gupta Nursing Home,[],C.T.M.Road,Andhra Pradesh,Chittoor,517325.0,,,,,,,,13.217176,79.1003289
71,"13.5529488, 78.5086376",Kathasagaram Hospitals,[],"# 15-37, Burma St, C.T.M. Road",Andhra Pradesh,Chittoor,517325.0,,,,,,,,13.5529488,78.5086376
72,"13.217176, 79.1003289",Leo Hospital,[],",,C.T.M.Road",Andhra Pradesh,Chittoor,517325.0,,,,,,,,13.217176,79.1003289
73,"13.5657237, 78.5066868",M.V.L Hospital,[],C.T.M Road(Opp State Bank Of India) Madanapalle,Andhra Pradesh,Chittoor,517325.0,,,,,,,,13.5657237,78.5066868
74,"13.553374, 78.5065719",Madanapalle Hospital Pvt Ltd,[],"C.T.M Road, Madanapalle",Andhra Pradesh,Chittoor,517325.0,08571  223565,,,,,,,13.553374,78.5065719
75,"30.3145962, 78.0357476",Popular Nursing Home,[],"Gandhi Road,,Gandhi Road",Andhra Pradesh,Chittoor,517325.0,,,,,,,,30.3145962,78.0357476
76,"13.5603491, 78.5036065",Rama Orthopaedic Nursing Home,[],"Iv-5-3, Marpoori Colony, Madanapalle",Andhra Pradesh,Chittoor,517325.0,,,,,,,,13.5603491,78.5036065
77,"13.553374, 78.5065719",Shantharam Hospital,[],"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle",Andhra Pradesh,Chittoor,517325.0,,,,,,,,13.553374,78.5065719
80,"14.6818877, 77.6005911",Sri Kaveri Speciality Hospital,[],"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle",Andhra Pradesh,Chittoor,517325.0,,,,,,,,14.6818877,77.6005911
81,"13.5603491, 78.5036065",Usha Speciality Hospital,[],"Ganesh Hotel Compound , Near .R.T.C Bus Stand,Madanapalle",Andhra Pradesh,Chittoor,517325.0,,,,,,,,13.5603491,78.5036065
82,"13.5603491, 78.5036065",Viswa Orthopaedic Hospital,[],"D No 11-70, Patel Road Madanapalli",Andhra Pradesh,Chittoor,517325.0,08571    221646,,,,,,,13.5603491,78.5036065
84,"12.7279579, 78.3512397",P E S Institute Of Medical Sciences and Research,[],Kuppam Palmaner Road,Andhra Pradesh,Chittoor,517425.0,"08570  256666,256655",,,,,,,12.7279579,78.3512397
85,"12.7510218, 78.340196",Rathna Childrens and General Hospital,[],"Palace Road, Kuppam",Andhra Pradesh,Chittoor,517425.0,,,,,,,,12.7510218,78.340196
86,"12.7470314, 78.3330157",Sri Priya Nursing Home,[],"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam",Andhra Pradesh,Chittoor,517425.0,08570    255136,,,,,,,12.7470314,78.3330157
87,"13.6403071, 79.4176391",Apollo Multispeciality Hospital,[],"D.No :10-15-189/I2, K.K. Layout, Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6403071,79.4176391
89,"13.6320156, 79.4260025",Asalatha Medicare Pvt Lt,[],"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6320156,79.4260025
90,"13.217176, 79.1003289",Balaji Institute Of Surgery Research And Rehabilit,[],Tirupti (B.I.R.R.D),Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.217176,79.1003289
91,"13.6344095, 79.425573",Balaji Orthopaedic And Trauma Hospital,[],"#413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati",Andhra Pradesh,Chittoor,517501.0,0877    2222700,,,,,,,13.6344095,79.425573
92,"13.6338436, 79.4210045",Bhaskar Allergy and Chest Hospital,[],"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6338436,79.4210045
93,"13.6338782, 79.4195997",Clinic Nisha,[],"398A, Doddapuram Street, Tirupati",Andhra Pradesh,Chittoor,517501.0,2228761,,,,,,,13.6338782,79.4195997
94,"13.6244611, 79.4310052",Dbr And Sk Super Speciality Hospital,[],"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road",Andhra Pradesh,Chittoor,517501.0,"0877    6667999,6561981",,,,,,,13.6244611,79.4310052
95,"13.6287557, 79.4191795",Eye Care Centre and Contact Lens Clinic,[],Nehru Nagar Behind Jyothi Talkies Tirupati,Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6287557,79.4191795
97,"13.6361446, 79.4204532",Harshitha Hospital,[],"10-13-568,,Reddy and Reddy Colony",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6361446,79.4204532
99,"13.6781837, 79.352188",M S Hospital,[],"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",Andhra Pradesh,Chittoor,517501.0,0877  228 2459,,,,,,,13.6781837,79.352188
100,"13.6287557, 79.4191795",M.M Hospital,[],"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6287557,79.4191795
102,"13.6302513, 79.4118237",Manohari Nursing Home,[],"548, R.R. Colony,Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6302513,79.4118237
103,"13.6287557, 79.4191795",Meghana Hospital,[],"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6287557,79.4191795
105,"13.217176, 79.1003289",Navya Netralaya Eye Hospital,[],2-2-349 K.V. Layout,Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.217176,79.1003289
106,"13.6390013, 79.4272041",Neelima Maternity Nursing Home,[],"18-2-246 , Road No-1 Abbanna Colony Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6390013,79.4272041
107,"13.6287557, 79.4191795",Nirmala Hospitals,[],"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6287557,79.4191795
108,"13.6361446, 79.4204532",Om Children Surgical Superspeciality Centre,[],"10-13-486, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6361446,79.4204532
109,"13.6287557, 79.4191795",Prameela Hospital,[],10 - 3 - 206 Kotakommala Street Tirupati,Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6287557,79.4191795
110,"13.6338436, 79.4210045",Prashanth Hospital,[],"#: 410, Tilak Road Tilak Road Tirupati",Andhra Pradesh,Chittoor,517501.0,"0877    22454333,2252466",,,,,,,13.6338436,79.4210045
112,"13.6244611, 79.4310052",Raghavendra Urological Super Speciality Hospital (Russh Hospital),[],"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,517501.0,"0877    2220487,2227385,2224725",,,,,,,13.6244611,79.4310052
113,"13.6361446, 79.4204532",Rama Nursing Home,[],"535, Reddy and Reddy Colony , Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6361446,79.4204532
115,"13.6365271, 79.4127143",Ramya Hospital,[],"-4-566, Nehru Nagar, Tirupathi, Chittoor",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6365271,79.4127143
116,"13.6287557, 79.4191795",Ravi Neuro and Emergency Hospital - Chittoor,[],"# 576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Andhra Pradesh,Chittoor,517501.0,2222369,,,,,,,13.6287557,79.4191795
117,"13.6361446, 79.4204532",Sakthi Medicals,[],"548, Reddy and Reddy Colony,Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6361446,79.4204532
118,"13.6368739, 79.4144319",Shyamala Nursing Home,[],"101, Sarojinideavi Road, Tirupati",Andhra Pradesh,Chittoor,517501.0,2286522,,,,,,,13.6368739,79.4144319
119,"13.6157076, 79.4125828",Sree Emergency and Crticial Care Hospital,[],"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6157076,79.4125828
120,"13.6361446, 79.4204532",Sri Chakra Hospitals,[],"10-13-496, , Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6361446,79.4204532
121,"23.0866456, 72.5630236",Sri Padmavathi Multi Speciality Hospital,[],"6-1-46, R.S.Gardens Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,23.0866456,72.5630236
122,"13.6388217, 79.4204627",Sri Ramadevi Multi Super Speciality Hospital,[],T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati,Andhra Pradesh,Chittoor,517501.0,"0877    2287437,2287156",,,,,,,13.6388217,79.4204627
124,"13.6361446, 79.4204532",Sri Sai Sudha Hospitals,[],"521, Reddy and Reddy Colony, Chittor, Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6361446,79.4204532
125,"13.217176, 79.1003289",Sri Suraksha Hospital,[],Tirupati,Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.217176,79.1003289
126,"13.217176, 79.1003289",Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,[],No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple,Andhra Pradesh,Chittoor,517501.0,2253322,,,,,,,13.217176,79.1003289
127,"13.6287557, 79.4191795",Sri Venkateshwara Institute Of Medical Sciences,[],Tirupati,Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6287557,79.4191795
128,"26.896961, 75.792554",Sri Venkateswara Hospitals,[],"No. 20-03-88G, Siva Jyothi Nagar",Andhra Pradesh,Chittoor,517501.0,0877 2281111,,,,,,,26.896961,75.792554
130,"13.6287557, 79.4191795",Srinivasa Super Speciality Hospital,[],"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6287557,79.4191795
131,"13.6361446, 79.4204532",Suguna Nursing Home,[],"515,Reddy Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6361446,79.4204532
132,"13.6095995, 79.4489169",Sviss Hospital,[],"326,Nethaji Road,Tirupati",Andhra Pradesh,Chittoor,517501.0,6668633,,,,,,,13.6095995,79.4489169
133,"13.6287557, 79.4191795",Swaranamrutha Hospital,[],"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Andhra Pradesh,Chittoor,517501.0,2286602,,,,,,,13.6287557,79.4191795
136,"13.6361446, 79.4204532",Triveni Child Care Hospital,[],"525,Reddy  and Reddy Colony,Tirupathi",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.6361446,79.4204532
139,"13.6358027, 79.420805",Venkataramana Heart And Maternity Hospital,[],"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,517501.0,0877    2258183,,,,,,,13.6358027,79.420805
140,"13.639101, 79.4177213",Vision Care Clinic,[],"6-2-88, Old Maternity Hospital Road, Tirupati",Andhra Pradesh,Chittoor,517501.0,,,,,,,,13.639101,79.4177213
141,"13.6335087, 79.4170539",Elite Hospital,[],"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony",Andhra Pradesh,Chittoor,517502.0,0877  2251000,,,,,,,13.6335087,79.4170539
142,"13.217176, 79.1003289",Maha Hospitals,[],13-7-936/6 Tuda Road,Andhra Pradesh,Chittoor,517502.0,0877  2266601,,,,,,,13.217176,79.1003289
143,"28.6779455, 77.3103012",Vennela Super Speciality Eye and Dental Hospital,[],"502,B, 1St Floor, Opp Sbi Kt Road",Andhra Pradesh,Chittoor,517502.0,2228266,,,,,,,28.6779455,77.3103012
145,"13.6452591, 79.419089",Manasa Kidney Foundation,[],"K. T. Road, Tirupati",Andhra Pradesh,Chittoor,517507.0,,,,,,,,13.6452591,79.419089
146,"13.6370231, 79.4206271",Rushh Hospital,[],"V.V.Mahal Road, Tirupathi",Andhra Pradesh,Chittoor,517507.0,22227385,,,,,,,13.6370231,79.4206271
149,"13.6287557, 79.4191795",Swarna E.N.T Super Speciality Hosptial,[],"6-1-12A, Beside Old Maternity Hospital, Tirupati",Andhra Pradesh,Chittoor,517507.0,,,,,,,,13.6287557,79.4191795
150,"13.633255, 79.4552064",Swarnamurtha Hospital,[],"91,Old M.H.Road,1/1,Tirupathi",Andhra Pradesh,Chittoor,517507.0,,,,,,,,13.633255,79.4552064
151,"12.7686756, 75.2070644",Sri Sai Nursing Home,[],"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur",Andhra Pradesh,Chittoor,517583.0,222765,,,,,,,12.7686756,75.2070644
152,"13.3200519, 79.585628",C.S.I. Hospital,[],Nagari-517590,Andhra Pradesh,Chittoor,517590.0,,,,,,,,13.3200519,79.585628
154,"13.7392101, 79.7119419",Chaitanya Childrens Hospital,[],"Door No-7/370, Nagarchipalem, Srikalahasti",Andhra Pradesh,Chittoor,517644.0,,,,,,,,13.7392101,79.7119419
155,"13.217176, 79.1003289",Eswari Nursing Home,[],"# 7-723,Kothapet",Andhra Pradesh,Chittoor,517644.0,,,,,,,,13.217176,79.1003289
156,"13.217176, 79.1003289",Sai Kanthi Eye Hospital,[],Kothapet,Andhra Pradesh,Chittoor,517644.0,,,,,,,,13.217176,79.1003289
157,"22.5657131, 88.3557301",Vani Priya Hospital,[],"V R Temple Street, Nehru Road",Andhra Pradesh,Chittoor,517644.0,,,,,,,,22.5657131,88.3557301
160,"14.480391, 78.8340173",Balaji Nursing Home,[],"6/1565, Sankara Puram",Andhra Pradesh,Y.S.R.,516001.0,08562  247843,,,,,,,14.480391,78.8340173
163,"17.6651796, 75.8970483",Jyothi Nursing Home,[],3/374 Railway Station Road Railway Station Road,Andhra Pradesh,Y.S.R.,516001.0,08251    246975,,,,,,,17.6651796,75.8970483
164,"19.0266349, 72.8594614",K.C.M. Hospital,[],"#3/224, Upendra Complex",Andhra Pradesh,Y.S.R.,516001.0,242929,,,,,,,19.0266349,72.8594614
166,"14.4701485, 78.8297701",Palla Krishnaiah Memorial And Nursing Home,[],21/188 and 21/187 Christian Lane,Andhra Pradesh,Y.S.R.,516001.0,08562    246088,,,,,,,14.4701485,78.8297701
171,"14.4701485, 78.8297701",Sri Krishna Sahithi Eye Hospital,[],3/137 Christian Lane Christian Lane,Andhra Pradesh,Y.S.R.,516001.0,08562    252844,,,,,,,14.4701485,78.8297701
172,"14.4783864, 78.8252721",Srija Rainbow Childrens Hospital,[],Madras Road,Andhra Pradesh,Y.S.R.,516001.0,,,,,,,,14.4783864,78.8252721
174,"14.686981, 78.3909238",Tata Reddy Ramalinga Reddy Nursing Home,[],"17/48, Kapu Street, Jammalamadugu",Andhra Pradesh,Y.S.R.,516001.0,08560  271166,,,,,,,14.686981,78.3909238
